Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_train_1096,50.0,4.92,19.8,74.72,
vae_wgan_train_1097,50.0,19.88,19.92,89.8,
vae_wgan_train_1098,50.0,5.78,19.96,75.74,
vae_wgan_train_1099,50.0,20.94,19.96,90.9,
vae_wgan_train_109,50.0,6.11,19.6,75.71,
vae_wgan_train_10,50.0,20.51,19.92,90.43,
vae_wgan_train_1100,50.0,5.82,19.88,75.7,
vae_wgan_train_1101,50.0,6.03,19.96,75.99,
vae_wgan_train_1102,50.0,20.25,19.96,90.21,
vae_wgan_train_1103,50.0,5.59,19.52,75.11,
vae_wgan_train_1104,50.0,5.54,19.96,75.5,
vae_wgan_train_1105,50.0,21.15,19.96,91.11,
vae_wgan_train_1106,50.0,20.35,19.52,89.87,
vae_wgan_train_1107,50.0,19.79,19.96,89.75,
vae_wgan_train_1108,50.0,19.33,19.92,89.25,
vae_wgan_train_1109,50.0,5.25,19.96,75.21,
vae_wgan_train_110,50.0,20.13,19.96,90.09,
vae_wgan_train_1110,50.0,20.35,19.92,90.27,
vae_wgan_train_1111,50.0,4.95,19.32,74.27,
vae_wgan_train_1112,50.0,5.37,19.84,75.21,
vae_wgan_train_1113,50.0,20.83,19.92,90.75,
vae_wgan_train_1114,50.0,5.57,18.56,74.13,
vae_wgan_train_1115,50.0,20.13,19.8,89.93,
vae_wgan_train_1116,50.0,20.29,19.92,90.21,
vae_wgan_train_1117,50.0,6.07,19.92,75.99,
vae_wgan_train_1118,50.0,5.84,19.8,75.64,
vae_wgan_train_1119,50.0,19.91,19.96,89.87,
vae_wgan_train_111,50.0,6.46,19.88,76.34,
vae_wgan_train_1120,50.0,5.09,19.96,75.05,
vae_wgan_train_1121,50.0,19.96,19.96,89.92,
vae_wgan_train_1122,50.0,4.83,19.16,73.99,
vae_wgan_train_1123,50.0,5.58,19.96,75.54,
vae_wgan_train_1124,50.0,4.93,19.4,74.33,
vae_wgan_train_1125,50.0,20.21,19.96,90.17,
vae_wgan_train_1126,50.0,21.0,19.92,90.92,
vae_wgan_train_1127,50.0,5.06,19.92,74.98,
vae_wgan_train_1128,50.0,19.83,19.96,89.79,
vae_wgan_train_1129,50.0,19.39,19.52,88.91,
vae_wgan_train_112,50.0,6.32,19.08,75.4,
vae_wgan_train_1130,50.0,19.18,19.96,89.14,
vae_wgan_train_1131,50.0,20.07,20,90.07,
vae_wgan_train_1132,50.0,4.95,19.44,74.39,
vae_wgan_train_1133,50.0,5.51,19.28,74.79,
vae_wgan_train_1134,50.0,20.01,19.96,89.97,
vae_wgan_train_1135,50.0,19.01,19.28,88.29,
vae_wgan_train_1136,50.0,19.32,19.92,89.24,
vae_wgan_train_1137,50.0,4.76,19.44,74.2,
vae_wgan_train_1138,50.0,4.97,19.92,74.89,
vae_wgan_train_1139,50.0,20.23,19.6,89.83,
vae_wgan_train_113,50.0,5.86,19.68,75.54,
vae_wgan_train_1140,50.0,20.23,19.6,89.83,
vae_wgan_train_1141,50.0,20.27,19.96,90.23,
vae_wgan_train_1142,50.0,20.77,19.76,90.53,
vae_wgan_train_1143,50.0,19.75,19.96,89.71,
vae_wgan_train_1144,50.0,5.38,19.96,75.34,
vae_wgan_train_1145,50.0,6.03,19.92,75.95,
vae_wgan_train_1146,50.0,5.83,19.88,75.71,
vae_wgan_train_1147,50.0,21.75,19.96,91.71,
vae_wgan_train_1148,50.0,5.9,19.88,75.78,
vae_wgan_train_1149,50.0,19.79,19.96,89.75,
vae_wgan_train_114,50.0,21.74,19.96,91.7,
vae_wgan_train_1150,50.0,5.35,19.32,74.67,
vae_wgan_train_1151,50.0,20.94,19.92,90.86,
vae_wgan_train_1152,50.0,4.71,19.92,74.63,
vae_wgan_train_1153,50.0,20.41,19.96,90.37,
vae_wgan_train_1154,50.0,4.62,19.0,73.62,
vae_wgan_train_1155,50.0,5.75,19.92,75.67,
vae_wgan_train_1156,50.0,20.17,19.92,90.09,
vae_wgan_train_1157,50.0,5.21,19.92,75.13,
vae_wgan_train_1158,50.0,5.96,19.92,75.88,
vae_wgan_train_1159,50.0,5.09,19.96,75.05,
vae_wgan_train_115,50.0,21.74,19.96,91.7,
vae_wgan_train_1160,50.0,5.46,19.92,75.38,
vae_wgan_train_1161,50.0,19.75,19.96,89.71,
vae_wgan_train_1162,50.0,5.43,19.92,75.35,
vae_wgan_train_1163,50.0,21.11,19.96,91.07,
vae_wgan_train_1164,50.0,19.96,19.96,89.92,
vae_wgan_train_1165,50.0,5.03,19.48,74.51,
vae_wgan_train_1166,50.0,5.66,19.84,75.5,
vae_wgan_train_1167,50.0,21.35,19.96,91.31,
vae_wgan_train_1168,50.0,5.19,19.16,74.35,
vae_wgan_train_1169,50.0,19.61,19.92,89.53,
vae_wgan_train_116,50.0,19.55,19.92,89.47,
vae_wgan_train_1170,50.0,5.66,19.72,75.38,
vae_wgan_train_1171,50.0,21.05,19.76,90.81,
vae_wgan_train_1172,50.0,5.09,19.48,74.57,
vae_wgan_train_1173,50.0,5.55,19.96,75.51,
vae_wgan_train_1174,50.0,20.12,19.96,90.08,
vae_wgan_train_1175,50.0,20.1,19.96,90.06,
vae_wgan_train_1176,50.0,4.99,19.96,74.95,
vae_wgan_train_1177,50.0,19.99,19.96,89.95,
vae_wgan_train_1178,50.0,20.18,19.92,90.1,
vae_wgan_train_1179,50.0,4.38,19.92,74.3,
vae_wgan_train_117,50.0,20.39,20,90.39,
vae_wgan_train_1180,50.0,5.19,19.76,74.95,
vae_wgan_train_1181,50.0,20.31,19.64,89.95,
vae_wgan_train_1182,50.0,20.63,19.96,90.59,
vae_wgan_train_1183,50.0,19.72,19.92,89.64,
vae_wgan_train_1184,50.0,19.41,19.96,89.37,
vae_wgan_train_1185,50.0,6.12,19.96,76.08,
vae_wgan_train_1186,50.0,20.0,19.96,89.96,
vae_wgan_train_1187,50.0,20.71,19.32,90.03,
vae_wgan_train_1188,50.0,21.49,19.96,91.45,
vae_wgan_train_1189,50.0,6.41,19.96,76.37,
vae_wgan_train_118,50.0,20.17,19.96,90.13,
vae_wgan_train_1190,50.0,21.24,19.96,91.2,
vae_wgan_train_1191,50.0,20.46,19.4,89.86,
vae_wgan_train_1192,50.0,20.43,19.56,89.99,
vae_wgan_train_1193,50.0,5.78,19.52,75.3,
vae_wgan_train_1194,50.0,5.8,19.6,75.4,
vae_wgan_train_1195,50.0,5.41,19.56,74.97,
vae_wgan_train_1196,50.0,5.14,19.96,75.1,
vae_wgan_train_1197,50.0,5.3,19.96,75.26,
vae_wgan_train_1198,50.0,5.41,19.92,75.33,
vae_wgan_train_1199,50.0,4.58,19.92,74.5,
vae_wgan_train_119,50.0,6.4,18.64,75.04,
vae_wgan_train_11,50.0,21.27,20,91.27,
vae_wgan_train_1200,50.0,5.59,19.8,75.39,
vae_wgan_train_1201,50.0,21.34,19.96,91.3,
vae_wgan_train_1202,50.0,5.18,19.92,75.1,
vae_wgan_train_1203,50.0,20.93,19.92,90.85,
vae_wgan_train_1204,50.0,5.87,18.64,74.51,
vae_wgan_train_1205,50.0,19.77,19.96,89.73,
vae_wgan_train_1206,50.0,5.07,19.32,74.39,
vae_wgan_train_1207,50.0,21.89,19.96,91.85,
vae_wgan_train_1208,50.0,20.07,19.96,90.03,
vae_wgan_train_1209,50.0,21.09,19.96,91.05,
vae_wgan_train_120,50.0,5.84,19.96,75.8,
vae_wgan_train_1210,50.0,5.71,19.28,74.99,
vae_wgan_train_1211,50.0,5.11,19.96,75.07,
vae_wgan_train_1212,50.0,4.68,19.2,73.88,
vae_wgan_train_1213,50.0,21.33,19.96,91.29,
vae_wgan_train_1214,50.0,21.65,19.96,91.61,
vae_wgan_train_1215,50.0,5.07,19.96,75.03,
vae_wgan_train_1216,50.0,5.28,18.96,74.24,
vae_wgan_train_1217,50.0,19.97,19.92,89.89,
vae_wgan_train_1218,50.0,21.6,19.72,91.32,
vae_wgan_train_1219,50.0,5.46,19.88,75.34,
vae_wgan_train_121,50.0,19.52,19.96,89.48,
vae_wgan_train_1220,50.0,5.89,19.96,75.85,
vae_wgan_train_1221,50.0,6.14,19.6,75.74,
vae_wgan_train_1222,50.0,19.96,19.96,89.92,
vae_wgan_train_1223,50.0,20.98,20,90.98,
vae_wgan_train_1224,50.0,5.08,19.84,74.92,
vae_wgan_train_1225,50.0,20.04,19.96,90.0,
vae_wgan_train_1226,50.0,4.13,19.4,73.53,
vae_wgan_train_1227,50.0,5.23,19.96,75.19,
vae_wgan_train_1228,50.0,19.52,19.48,89.0,
vae_wgan_train_1229,50.0,5.29,19.68,74.97,
vae_wgan_train_122,50.0,4.71,19.88,74.59,
vae_wgan_train_1230,50.0,20.45,19.92,90.37,
vae_wgan_train_1231,50.0,20.63,19.96,90.59,
vae_wgan_train_1232,50.0,5.59,19.96,75.55,
vae_wgan_train_1233,50.0,4.86,19.96,74.82,
vae_wgan_train_1234,50.0,20.0,19.92,89.92,
vae_wgan_train_1235,50.0,19.9,19.92,89.82,
vae_wgan_train_1236,50.0,20.31,19.92,90.23,
vae_wgan_train_1237,50.0,20.43,19.92,90.35,
vae_wgan_train_1238,50.0,19.72,19.96,89.68,
vae_wgan_train_1239,50.0,20.16,19.96,90.12,
vae_wgan_train_123,50.0,5.87,18.92,74.79,
vae_wgan_train_1240,50.0,5.32,18.16,73.48,
vae_wgan_train_1241,50.0,19.32,19.92,89.24,
vae_wgan_train_1242,50.0,6.55,19.96,76.51,
vae_wgan_train_1243,50.0,4.58,19.56,74.14,
vae_wgan_train_1244,50.0,20.39,19.36,89.75,
vae_wgan_train_1245,50.0,20.15,19.96,90.11,
vae_wgan_train_1246,50.0,6.1,20,76.1,
vae_wgan_train_1247,50.0,20.83,19.92,90.75,
vae_wgan_train_1248,50.0,19.99,19.0,88.99,
vae_wgan_train_1249,50.0,19.11,19.96,89.07,
vae_wgan_train_124,50.0,20.55,19.96,90.51,
vae_wgan_train_1250,50.0,3.77,19.92,73.69,
vae_wgan_train_1251,50.0,4.43,19.92,74.35,
vae_wgan_train_1252,50.0,20.7,19.92,90.62,
vae_wgan_train_1253,50.0,19.97,19.56,89.53,
vae_wgan_train_1254,50.0,5.15,19.24,74.39,
vae_wgan_train_1255,50.0,20.09,19.96,90.05,
vae_wgan_train_1256,50.0,5.63,19.96,75.59,
vae_wgan_train_1257,50.0,19.79,19.92,89.71,
vae_wgan_train_1258,50.0,5.15,19.32,74.47,
vae_wgan_train_1259,50.0,20.77,19.92,90.69,
vae_wgan_train_125,50.0,20.24,19.96,90.2,
vae_wgan_train_1260,50.0,20.05,19.96,90.01,
vae_wgan_train_1261,50.0,4.54,19.96,74.5,
vae_wgan_train_1262,50.0,4.82,19.96,74.78,
vae_wgan_train_1263,50.0,19.75,19.96,89.71,
vae_wgan_train_1264,50.0,5.49,18.56,74.05,
vae_wgan_train_1265,50.0,20.28,19.68,89.96,
vae_wgan_train_1266,50.0,5.57,19.36,74.93,
vae_wgan_train_1267,50.0,4.96,19.96,74.92,
vae_wgan_train_1268,50.0,5.13,19.64,74.77,
vae_wgan_train_1269,50.0,3.84,20,73.84,
vae_wgan_train_126,50.0,5.04,19.92,74.96,
vae_wgan_train_1270,50.0,20.36,19.96,90.32,
vae_wgan_train_1271,50.0,20.14,19.96,90.1,
vae_wgan_train_1272,50.0,5.36,19.16,74.52,
vae_wgan_train_1273,50.0,20.7,19.92,90.62,
vae_wgan_train_1274,50.0,6.11,19.92,76.03,
vae_wgan_train_1275,50.0,5.08,19.92,75.0,
vae_wgan_train_1276,50.0,20.63,19.96,90.59,
vae_wgan_train_1277,50.0,4.89,19.08,73.97,
vae_wgan_train_1278,50.0,5.83,19.96,75.79,
vae_wgan_train_1279,50.0,6.54,19.92,76.46,
vae_wgan_train_127,50.0,7.27,20,77.27,
vae_wgan_train_1280,50.0,20.61,19.92,90.53,
vae_wgan_train_1281,50.0,4.87,19.92,74.79,
vae_wgan_train_1282,50.0,4.84,19.56,74.4,
vae_wgan_train_1283,50.0,5.71,19.96,75.67,
vae_wgan_train_1284,50.0,19.08,19.52,88.6,
vae_wgan_train_1285,50.0,5.25,19.92,75.17,
vae_wgan_train_1286,50.0,20.1,19.92,90.02,
vae_wgan_train_1287,50.0,20.56,19.92,90.48,
vae_wgan_train_1288,50.0,5.07,19.48,74.55,
vae_wgan_train_1289,50.0,19.94,19.92,89.86,
vae_wgan_train_128,50.0,19.71,19.92,89.63,
vae_wgan_train_1290,50.0,20.61,19.96,90.57,
vae_wgan_train_1291,50.0,21.12,19.96,91.08,
vae_wgan_train_1292,50.0,5.49,18.76,74.25,
vae_wgan_train_1293,50.0,20.62,19.92,90.54,
vae_wgan_train_1294,50.0,4.8,19.56,74.36,
vae_wgan_train_1295,50.0,19.08,19.4,88.48,
vae_wgan_train_1296,50.0,19.8,19.92,89.72,
vae_wgan_train_1297,50.0,19.81,19.96,89.77,
vae_wgan_train_1298,50.0,4.47,19.92,74.39,
vae_wgan_train_1299,50.0,5.63,19.84,75.47,
vae_wgan_train_129,50.0,19.02,19.92,88.94,
vae_wgan_train_12,50.0,20.29,19.96,90.25,
vae_wgan_train_1300,50.0,4.88,19.32,74.2,
vae_wgan_train_1301,50.0,4.83,19.92,74.75,
vae_wgan_train_1302,50.0,20.06,19.92,89.98,
vae_wgan_train_1303,50.0,20.27,19.96,90.23,
vae_wgan_train_1304,50.0,4.33,19.92,74.25,
vae_wgan_train_1305,50.0,20.38,19.92,90.3,
vae_wgan_train_1306,50.0,21.05,19.96,91.01,
vae_wgan_train_1307,50.0,5.59,19.92,75.51,
vae_wgan_train_1308,50.0,20.46,19.92,90.38,
vae_wgan_train_1309,50.0,5.18,19.88,75.06,
vae_wgan_train_130,50.0,5.75,19.96,75.71,
vae_wgan_train_1310,50.0,5.47,19.08,74.55,
vae_wgan_train_1311,50.0,6.0,19.92,75.92,
vae_wgan_train_1312,50.0,20.06,19.92,89.98,
vae_wgan_train_1313,50.0,19.99,19.96,89.95,
vae_wgan_train_1314,50.0,4.18,19.96,74.14,
vae_wgan_train_1315,50.0,4.36,19.36,73.72,
vae_wgan_train_1316,50.0,20.06,19.96,90.02,
vae_wgan_train_1317,50.0,21.97,20,91.97,
vae_wgan_train_1318,50.0,5.17,19.2,74.37,
vae_wgan_train_1319,50.0,4.45,19.92,74.37,
vae_wgan_train_131,50.0,20.76,19.96,90.72,
vae_wgan_train_1320,50.0,19.43,20,89.43,
vae_wgan_train_1321,50.0,5.35,19.96,75.31,
vae_wgan_train_1322,50.0,5.01,19.92,74.93,
vae_wgan_train_1323,50.0,19.58,19.92,89.5,
vae_wgan_train_1324,50.0,20.07,19.96,90.03,
vae_wgan_train_1325,50.0,20.28,19.92,90.2,
vae_wgan_train_1326,50.0,19.73,19.96,89.69,
vae_wgan_train_1327,50.0,4.23,19.92,74.15,
vae_wgan_train_1328,50.0,5.14,19.92,75.06,
vae_wgan_train_1329,50.0,19.79,19.92,89.71,
vae_wgan_train_132,50.0,5.71,19.88,75.59,
vae_wgan_train_1330,50.0,4.62,19.76,74.38,
vae_wgan_train_1331,50.0,5.32,19.52,74.84,
vae_wgan_train_1332,50.0,5.01,19.84,74.85,
vae_wgan_train_1333,50.0,19.23,19.8,89.03,
vae_wgan_train_1334,50.0,5.89,19.92,75.81,
vae_wgan_train_1335,50.0,20.09,19.92,90.01,
vae_wgan_train_1336,50.0,21.48,19.96,91.44,
vae_wgan_train_1337,50.0,20.0,19.92,89.92,
vae_wgan_train_1338,50.0,5.52,19.48,75.0,
vae_wgan_train_1339,50.0,20.67,19.96,90.63,
vae_wgan_train_133,50.0,21.52,19.96,91.48,
vae_wgan_train_1340,50.0,20.73,19.96,90.69,
vae_wgan_train_1341,50.0,5.27,19.96,75.23,
vae_wgan_train_1342,50.0,5.86,19.44,75.3,
vae_wgan_train_1343,50.0,3.84,19.88,73.72,
vae_wgan_train_1344,50.0,4.92,19.4,74.32,
vae_wgan_train_1345,50.0,19.68,19.48,89.16,
vae_wgan_train_1346,50.0,5.81,19.88,75.69,
vae_wgan_train_1347,50.0,6.02,19.36,75.38,
vae_wgan_train_1348,50.0,5.42,19.28,74.7,
vae_wgan_train_1349,50.0,6.24,19.92,76.16,
vae_wgan_train_134,50.0,4.36,19.92,74.28,
vae_wgan_train_1350,50.0,7.11,20,77.11,
vae_wgan_train_1351,50.0,20.75,19.96,90.71,
vae_wgan_train_1352,50.0,21.09,19.96,91.05,
vae_wgan_train_1353,50.0,20.05,19.96,90.01,
vae_wgan_train_1354,50.0,20.47,19.92,90.39,
vae_wgan_train_1355,50.0,19.8,19.96,89.76,
vae_wgan_train_1356,50.0,19.79,19.96,89.75,
vae_wgan_train_1357,50.0,20.12,19.96,90.08,
vae_wgan_train_1358,50.0,20.19,19.96,90.15,
vae_wgan_train_1359,50.0,20.0,19.96,89.96,
vae_wgan_train_135,50.0,5.17,19.32,74.49,
vae_wgan_train_1360,50.0,5.17,19.96,75.13,
vae_wgan_train_1361,50.0,20.3,19.96,90.26,
vae_wgan_train_1362,50.0,19.15,19.28,88.43,
vae_wgan_train_1363,50.0,5.01,19.64,74.65,
vae_wgan_train_1364,50.0,5.69,19.96,75.65,
vae_wgan_train_1365,50.0,4.97,19.72,74.69,
vae_wgan_train_1366,50.0,5.55,19.96,75.51,
vae_wgan_train_1367,50.0,4.96,19.4,74.36,
vae_wgan_train_1368,50.0,6.48,19.96,76.44,
vae_wgan_train_1369,50.0,5.0,19.96,74.96,
vae_wgan_train_136,50.0,21.11,19.92,91.03,
vae_wgan_train_1370,50.0,5.83,19.96,75.79,
vae_wgan_train_1371,50.0,6.04,19.96,76.0,
vae_wgan_train_1372,50.0,20.81,19.92,90.73,
vae_wgan_train_1373,50.0,5.69,19.92,75.61,
vae_wgan_train_1374,50.0,20.14,19.96,90.1,
vae_wgan_train_1375,50.0,19.24,19.92,89.16,
vae_wgan_train_1376,50.0,4.96,19.44,74.4,
vae_wgan_train_1377,50.0,20.29,19.92,90.21,
vae_wgan_train_1378,50.0,5.34,19.2,74.54,
vae_wgan_train_1379,50.0,20.27,19.96,90.23,
vae_wgan_train_137,50.0,19.27,18.88,88.15,
vae_wgan_train_1380,50.0,19.56,19.52,89.08,
vae_wgan_train_1381,50.0,4.49,19.4,73.89,
vae_wgan_train_1382,50.0,19.95,19.96,89.91,
vae_wgan_train_1383,50.0,4.35,19.96,74.31,
vae_wgan_train_1384,50.0,20.13,19.96,90.09,
vae_wgan_train_1385,50.0,5.3,19.76,75.06,
vae_wgan_train_1386,50.0,20.39,19.92,90.31,
vae_wgan_train_1387,50.0,5.11,19.8,74.91,
vae_wgan_train_1388,50.0,5.08,19.96,75.04,
vae_wgan_train_1389,50.0,19.84,19.96,89.8,
vae_wgan_train_138,50.0,6.27,19.96,76.23,
vae_wgan_train_1390,50.0,4.34,19.28,73.62,
vae_wgan_train_1391,50.0,4.48,19.44,73.92,
vae_wgan_train_1392,50.0,5.37,19.96,75.33,
vae_wgan_train_1393,50.0,5.47,19.04,74.51,
vae_wgan_train_1394,50.0,21.17,19.96,91.13,
vae_wgan_train_1395,50.0,20.56,19.92,90.48,
vae_wgan_train_1396,50.0,6.25,19.64,75.89,
vae_wgan_train_1397,50.0,5.98,19.96,75.94,
vae_wgan_train_1398,50.0,20.12,19.96,90.08,
vae_wgan_train_1399,50.0,18.93,18.84,87.77,
vae_wgan_train_139,50.0,21.09,19.96,91.05,
vae_wgan_train_13,50.0,21.17,19.96,91.13,
vae_wgan_train_1400,50.0,4.92,19.6,74.52,
vae_wgan_train_1401,50.0,19.85,19.96,89.81,
vae_wgan_train_1402,50.0,19.86,19.96,89.82,
vae_wgan_train_1403,50.0,19.43,19.92,89.35,
vae_wgan_train_1404,50.0,20.76,19.76,90.52,
vae_wgan_train_1405,50.0,5.26,18.84,74.1,
vae_wgan_train_1406,50.0,20.09,19.92,90.01,
vae_wgan_train_1407,50.0,5.12,19.96,75.08,
vae_wgan_train_1408,50.0,5.12,19.96,75.08,
vae_wgan_train_1409,50.0,4.24,19.92,74.16,
vae_wgan_train_140,50.0,19.78,19.96,89.74,
vae_wgan_train_1410,50.0,19.93,19.96,89.89,
vae_wgan_train_1411,50.0,5.46,19.96,75.42,
vae_wgan_train_1412,50.0,20.5,19.92,90.42,
vae_wgan_train_1413,50.0,20.96,19.96,90.92,
vae_wgan_train_1414,50.0,5.35,19.92,75.27,
vae_wgan_train_1415,50.0,4.22,19.96,74.18,
vae_wgan_train_1416,50.0,4.49,19.4,73.89,
vae_wgan_train_1417,50.0,6.03,19.96,75.99,
vae_wgan_train_1418,50.0,4.68,19.32,74.0,
vae_wgan_train_1419,50.0,6.32,19.92,76.24,
vae_wgan_train_141,50.0,21.12,19.96,91.08,
vae_wgan_train_1420,50.0,5.15,19.92,75.07,
vae_wgan_train_1421,50.0,5.98,19.96,75.94,
vae_wgan_train_1422,50.0,5.47,20,75.47,
vae_wgan_train_1423,50.0,20.42,19.88,90.3,
vae_wgan_train_1424,50.0,19.96,19.96,89.92,
vae_wgan_train_1425,50.0,5.29,19.96,75.25,
vae_wgan_train_1426,50.0,20.91,19.96,90.87,
vae_wgan_train_1427,50.0,19.17,19.96,89.13,
vae_wgan_train_1428,50.0,19.76,19.96,89.72,
vae_wgan_train_1429,50.0,4.67,19.92,74.59,
vae_wgan_train_142,50.0,21.61,19.96,91.57,
