Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_1900,50.0,19.23,19.96,89.19,
vae_wgan_sample_1901,50.0,4.18,19.96,74.14,
vae_wgan_sample_1902,50.0,20.87,19.92,90.79,
vae_wgan_sample_1903,50.0,3.78,19.96,73.74,
vae_wgan_sample_1904,50.0,4.5,19.96,74.46,
vae_wgan_sample_1905,50.0,5.47,19.92,75.39,
vae_wgan_sample_1906,50.0,19.93,19.96,89.89,
vae_wgan_sample_1907,50.0,20.54,19.96,90.5,
vae_wgan_sample_1908,50.0,19.25,19.96,89.21,
vae_wgan_sample_1909,50.0,20.75,19.96,90.71,
vae_wgan_sample_190,50.0,5.35,19.96,75.31,
vae_wgan_sample_1910,50.0,4.16,19.96,74.12,
vae_wgan_sample_1911,50.0,5.51,19.56,75.07,
vae_wgan_sample_1912,50.0,19.41,19.96,89.37,
vae_wgan_sample_1913,50.0,5.54,19.92,75.46,
vae_wgan_sample_1914,50.0,4.92,19.92,74.84,
vae_wgan_sample_1915,50.0,5.13,19.96,75.09,
vae_wgan_sample_1916,50.0,4.39,19.92,74.31,
vae_wgan_sample_1917,50.0,5.3,19.92,75.22,
vae_wgan_sample_1918,50.0,5.12,19.96,75.08,
vae_wgan_sample_1919,50.0,5.26,19.96,75.22,
vae_wgan_sample_191,50.0,5.4,19.96,75.36,
vae_wgan_sample_1920,50.0,4.28,19.92,74.2,
vae_wgan_sample_1921,33.2,4.68,19.92,57.8,
vae_wgan_sample_1922,50.0,5.98,19.96,75.94,
vae_wgan_sample_1923,50.0,5.49,19.96,75.45,
vae_wgan_sample_1924,50.0,3.77,19.48,73.25,
vae_wgan_sample_1925,50.0,5.82,19.96,75.78,
vae_wgan_sample_1926,50.0,4.94,19.96,74.9,
vae_wgan_sample_1927,50.0,19.53,19.96,89.49,
vae_wgan_sample_1928,50.0,3.68,19.92,73.6,
vae_wgan_sample_1929,50.0,19.14,19.96,89.1,
vae_wgan_sample_192,50.0,5.55,19.6,75.15,
vae_wgan_sample_1930,50.0,19.9,19.96,89.86,
vae_wgan_sample_1931,50.0,19.88,19.92,89.8,
vae_wgan_sample_1932,50.0,4.59,19.92,74.51,
vae_wgan_sample_1933,50.0,4.57,19.96,74.53,
vae_wgan_sample_1934,50.0,4.72,19.88,74.6,
vae_wgan_sample_1935,50.0,3.33,19.92,73.25,
vae_wgan_sample_1936,50.0,5.51,18.32,73.83,
vae_wgan_sample_1937,50.0,20.56,19.96,90.52,
vae_wgan_sample_1938,50.0,20.19,19.92,90.11,
vae_wgan_sample_1939,50.0,5.0,19.96,74.96,
vae_wgan_sample_193,50.0,19.68,19.96,89.64,
vae_wgan_sample_1940,50.0,5.42,19.92,75.34,
vae_wgan_sample_1941,50.0,19.02,19.96,88.98,
vae_wgan_sample_1942,50.0,19.67,19.96,89.63,
vae_wgan_sample_1943,50.0,4.99,19.6,74.59,
vae_wgan_sample_1944,50.0,4.66,19.92,74.58,
vae_wgan_sample_1945,50.0,0.96,19.2,70.16,
vae_wgan_sample_1946,50.0,19.84,19.96,89.8,
vae_wgan_sample_1947,50.0,19.87,19.96,89.83,
vae_wgan_sample_1948,50.0,4.29,19.92,74.21,
vae_wgan_sample_1949,50.0,6.01,19.96,75.97,
vae_wgan_sample_194,50.0,5.98,19.96,75.94,
vae_wgan_sample_1950,50.0,6.68,19.96,76.64,
vae_wgan_sample_1951,50.0,20.04,19.96,90.0,
vae_wgan_sample_1952,50.0,19.8,19.92,89.72,
vae_wgan_sample_1953,50.0,20.35,19.96,90.31,
