Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_1963,50.0,6.31,19.24,75.55,
vae_wgan_sample_1964,50.0,6.01,19.8,75.81,
vae_wgan_sample_1965,50.0,6.04,19.92,75.96,
vae_wgan_sample_1966,50.0,19.99,19.8,89.79,
vae_wgan_sample_1967,50.0,5.43,19.28,74.71,
vae_wgan_sample_1968,50.0,4.76,19.6,74.36,
vae_wgan_sample_1969,50.0,20.56,19.96,90.52,
vae_wgan_sample_196,50.0,2.41,18.48,70.89,
vae_wgan_sample_1970,50.0,5.44,19.96,75.4,
vae_wgan_sample_1971,50.0,4.32,19.92,74.24,
vae_wgan_sample_1972,50.0,5.13,19.92,75.05,
vae_wgan_sample_1973,50.0,19.56,19.92,89.48,
vae_wgan_sample_1974,50.0,0.8,18.92,69.72,
vae_wgan_sample_1975,50.0,5.35,19.88,75.23,
vae_wgan_sample_1976,50.0,19.58,19.92,89.5,
vae_wgan_sample_1977,50.0,20.18,19.96,90.14,
vae_wgan_sample_1978,50.0,19.5,19.92,89.42,
vae_wgan_sample_1979,50.0,4.59,19.96,74.55,
vae_wgan_sample_197,50.0,19.9,19.96,89.86,
vae_wgan_sample_1980,50.0,6.55,20,76.55,
vae_wgan_sample_1981,50.0,4.91,19.96,74.87,
vae_wgan_sample_1982,50.0,18.85,19.92,88.77,
vae_wgan_sample_1983,50.0,4.93,19.96,74.89,
vae_wgan_sample_1984,50.0,19.26,19.92,89.18,
vae_wgan_sample_1985,50.0,19.99,19.96,89.95,
vae_wgan_sample_1986,50.0,20.15,19.92,90.07,
vae_wgan_sample_1987,50.0,5.73,20,75.73,
vae_wgan_sample_1988,50.0,5.73,19.92,75.65,
vae_wgan_sample_1989,50.0,5.37,19.4,74.77,
vae_wgan_sample_198,50.0,19.77,19.8,89.57,
vae_wgan_sample_1990,50.0,5.28,19.96,75.24,
vae_wgan_sample_1991,50.0,4.54,19.84,74.38,
vae_wgan_sample_1992,50.0,4.33,18.0,72.33,
vae_wgan_sample_1993,50.0,3.74,19.92,73.66,
vae_wgan_sample_1994,50.0,5.2,19.96,75.16,
vae_wgan_sample_1995,50.0,6.25,19.48,75.73,
vae_wgan_sample_1996,50.0,20.78,19.92,90.7,
vae_wgan_sample_1997,50.0,3.1,19.92,73.02,
vae_wgan_sample_1998,50.0,5.76,18.44,74.2,
vae_wgan_sample_1999,50.0,6.29,19.72,76.01,
vae_wgan_sample_199,50.0,19.64,19.92,89.56,
vae_wgan_sample_19,50.0,5.53,19.92,75.45,
vae_wgan_sample_1,50.0,20.23,19.92,90.15,
vae_wgan_sample_2000,50.0,5.12,19.96,75.08,
vae_wgan_sample_2001,50.0,19.71,19.92,89.63,
vae_wgan_sample_2002,50.0,5.14,19.4,74.54,
vae_wgan_sample_2003,50.0,5.89,19.96,75.85,
vae_wgan_sample_2004,50.0,2.57,19.92,72.49,
vae_wgan_sample_2005,50.0,4.02,19.76,73.78,
vae_wgan_sample_2006,50.0,4.95,19.96,74.91,
